run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
2271,2,-1.0679615,.93421894,.10343342,0,0,1,7,0
7006,2,-.73473817,.89806241,.052845255,0,0,1,7,0
2792,2,-.77364129,1.5058039,.13395502,0,0,1,7,0
5491,2,-1.3196967,.80610245,.24244034,0,0,1,7,0
8398,2,-2.1210957,2.0935092,.35535687,0,0,1,7,0
5423,2,-.046388756,.098927043,-.025143953,0,0,1,7,0
640,2,.92989093,-.33187199,-.12146207,0,0,1,7,0
6938,2,-1.2903212,1.6704021,.28193942,0,0,1,7,0
157,2,-1.0716684,1.3970523,.20242152,0,0,1,7,0
2596,2,-2.6421022,2.9452257,.58284318,0,0,1,7,0
6455,2,.90031368,-.49021536,-.14429966,0,0,1,7,0
2004,2,-.9288699,.62677366,.17946468,0,0,1,7,0
4256,2,-2.5817673,3.2193818,.45971838,0,0,1,7,0
5927,2,-.80997801,1.8237041,.34802747,0,0,1,7,0
9778,2,.38567576,-.45355332,-.22976652,0,0,1,7,0
2739,2,-1.8293642,1.858569,.34239751,0,0,1,7,0
9078,2,-1.9866387,1.8709996,.3924965,0,0,1,7,0
17,2,-1.9608084,3.0945609,.33052564,0,0,1,7,0
3184,2,-2.6547894,3.4854238,.45724401,0,0,1,7,0
167,2,-1.5003623,1.6248984,.29096845,0,0,1,7,0
3588,2,-1.0911268,1.5001824,.11271342,0,0,1,7,0
4567,2,-2.3859913,3.4977863,.43616825,0,0,1,7,0
8874,2,-.81395578,.35379049,.1763846,0,0,1,7,0
645,2,-1.672533,1.5118275,.27017128,0,0,1,7,0
2322,2,-.68353671,.24029565,.14664689,0,0,1,7,0
4873,2,.20308606,-.81454629,-.20558664,0,0,1,7,0
3768,2,-2.3744373,3.5574641,.38910702,0,0,1,7,0
4259,2,-1.4961276,2.7622199,.4266817,0,0,1,7,0
3832,2,-2.0410926,2.6898041,.34128329,0,0,1,7,0
367,2,.93163496,-1.222443,-.27191275,0,0,1,7,0
4243,2,.11673803,.64291555,.065951228,0,0,1,7,0
7203,2,1.7716415,-2.1398962,-.45009595,0,0,1,7,0
4372,2,.73969966,-.89229673,-.23962456,0,0,1,7,0
9871,2,.99868351,-.7514025,-.3098281,0,0,1,7,0
793,2,.94270229,-1.3881594,-.30078495,0,0,1,7,0
660,2,.61260974,-1.1428018,-.23545852,0,0,1,7,0
6935,2,-1.5851871,1.764535,.33076236,0,0,1,7,0
9947,2,-2.1019709,1.5100894,.27422741,0,0,1,7,0
2118,2,1.403204,-2.6064844,-.40215486,0,0,1,7,0
5498,2,-.78050011,1.0416085,.26877341,0,0,1,7,0
2963,2,-3.3830295,4.0966716,.64713955,0,0,1,7,0
4241,2,.98381847,-1.3582915,-.31192002,0,0,1,7,0
