run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
4091,2,-1.0424018,1.0123028,.097466856,1,0,1,7,0
833,2,-1.7303396,1.9707651,.2044538,1,0,1,7,0
9367,2,-.85342079,.73206753,.041017212,1,0,1,7,0
8693,2,-2.3940129,2.6880882,.27444616,1,0,1,7,0
4782,2,-.80344248,.94036114,.037124693,1,0,1,7,0
8940,2,-.41530079,-.27275604,.017454021,1,0,1,7,0
365,2,-1.1052464,.80521977,.090481363,1,0,1,7,0
4766,2,-1.9697742,2.4669297,.21931978,1,0,1,7,0
5132,2,-1.788448,2.147727,.18734923,1,0,1,7,0
9279,2,-1.5545416,1.6184543,.14328629,1,0,1,7,0
8336,2,-.84707314,1.1738847,.051439989,1,0,1,7,0
9082,2,-1.0601163,1.2412574,.044852499,1,0,1,7,0
9843,2,-1.5274141,1.4269997,.15409668,1,0,1,7,0
7430,2,-1.8830874,2.3624043,.18745558,1,0,1,7,0
6456,2,-2.5063047,2.300528,.30668378,1,0,1,7,0
2008,2,.060189407,-.036615264,-.064472325,1,0,1,7,0
5930,2,-.47159615,-.20769145,.025302215,1,0,1,7,0
6453,2,-1.5174462,1.6547397,.16036491,1,0,1,7,0
8793,2,-.51062042,-.17895961,.023526939,1,0,1,7,0
4791,2,-1.0298914,.53457826,.09677323,1,0,1,7,0
9210,2,-1.883744,2.2777214,.19561861,1,0,1,7,0
3864,2,-1.9709672,2.281106,.2477362,1,0,1,7,0
4529,2,-2.6431224,2.8259292,.2920911,1,0,1,7,0
3771,2,-1.7409456,1.4688443,.22888055,1,0,1,7,0
2503,2,-1.4746783,.93880242,.1625578,1,0,1,7,0
4050,2,-1.6691685,1.9436069,.18865752,1,0,1,7,0
3794,2,-1.6776921,1.62901,.18310861,1,0,1,7,0
8480,2,-1.2714931,1.4096364,.1090465,1,0,1,7,0
636,2,-1.9499981,2.1820655,.17779014,1,0,1,7,0
3953,2,-.44202429,-.42831123,.037484262,1,0,1,7,0
3968,2,-1.4675685,1.7487634,.15149033,1,0,1,7,0
1721,2,-1.8605353,2.0161397,.20797008,1,0,1,7,0
7606,2,-1.4003755,1.5503702,.16166925,1,0,1,7,0
9107,2,-.79946291,.42350054,.04242355,1,0,1,7,0
490,2,-1.1473558,.77606869,.12899837,1,0,1,7,0
3892,2,-.88996196,.73901314,.064855076,1,0,1,7,0
4734,2,-1.1568339,1.3141335,.11794689,1,0,1,7,0
4731,2,-.93847603,.61088288,.10062449,1,0,1,7,0
7338,2,-1.6292096,1.8234664,.15480414,1,0,1,7,0
4730,2,-1.5856071,1.0523498,.20542179,1,0,1,7,0
942,2,-1.7797273,2.0386894,.17062512,1,0,1,7,0
3992,2,-1.461291,.84365046,.21090923,1,0,1,7,0
9959,2,-1.1148669,.94995892,.10357122,1,0,1,7,0
4882,2,-1.7500725,2.1261871,.17410882,1,0,1,7,0
9851,2,-1.3332597,1.2091602,.1634759,1,0,1,7,0
9173,2,-.29635304,-.12251332,.012240003,1,0,1,7,0
4620,2,-1.3985845,1.2603126,.15517847,1,0,1,7,0
6312,2,-1.7406634,1.3878269,.21011108,1,0,1,7,0
3568,2,-.5940122,-.25538769,.051824592,1,0,1,7,0
73,2,-1.8401202,1.8999124,.2168505,1,0,1,7,0
6382,2,-.99087882,.72991097,.12987414,1,0,1,7,0
1088,2,-2.1984589,2.4405251,.24952953,1,0,1,7,0
4369,2,-.97987592,.57330173,.10926545,1,0,1,7,0
2278,2,.017784309,-.51811475,-.038532093,1,0,1,7,0
8105,2,-2.71579,2.5850732,.34345078,1,0,1,7,0
3404,2,-.90204996,1.0551132,.074791782,1,0,1,7,0
7560,2,-1.6903886,1.7119471,.18203656,1,0,1,7,0
4717,2,-.92076713,.38076061,.11266416,1,0,1,7,0
9502,2,-1.5150781,1.4066032,.14387453,1,0,1,7,0
7022,2,-1.2950679,1.4266967,.10649088,1,0,1,7,0
8475,2,-1.573704,1.9531413,.17288502,1,0,1,7,0
1708,2,-2.1200428,3.0334327,.21294963,1,0,1,7,0
5909,2,-.62260234,.66932893,.053622946,1,0,1,7,0
7395,2,-.90431452,1.1813681,.083236188,1,0,1,7,0
4712,2,-1.3620869,1.410951,.17016293,1,0,1,7,0
3203,2,-1.0560398,.46528783,.12111142,1,0,1,7,0
1589,2,-1.5160812,1.0924684,.15550724,1,0,1,7,0
6605,2,-1.3391113,1.3169196,.16847958,1,0,1,7,0
955,2,-1.6377993,2.0877635,.16387731,1,0,1,7,0
6520,2,-1.4737463,1.422284,.17953686,1,0,1,7,0
910,2,-1.2459422,1.1655705,.15595606,1,0,1,7,0
1087,2,-.19870037,-.62947035,-.020775005,1,0,1,7,0
8504,2,-1.40058,1.4725506,.12048449,1,0,1,7,0
4703,2,-.71578854,-.031177485,.097894713,1,0,1,7,0
3370,2,-2.290539,2.6112576,.2594485,1,0,1,7,0
4702,2,-1.8018283,1.7561022,.17871217,1,0,1,7,0
4224,2,-1.6436769,1.1589184,.1979752,1,0,1,7,0
